0,1,2
937303707993214976,2017-12-03 12:53:12,"Today in Chishtian, Distt Bahawalnagar. Rural Pakistan as aware of the cancer of corruption as our urban centres. T… https://t.co/ELCtWOPrz3"
936829520400674817,2017-12-02 05:28:57,A message from me to the youth of Pakistan https://t.co/b0JSlBxNNT
936483629462642688,2017-12-01 06:34:30,The reformed professional KP police force with its special rapid response unit has made a difference in dealing wit… https://t.co/k4JscK59Hl
936481694655418368,2017-12-01 06:26:49,Saddened by condemnable terrorist attack in Peshawar this morning. My prayers to to the victims and their families.… https://t.co/omD08NBKtJ
936289985149456384,2017-11-30 17:45:02,Greetings to Muslims everywhere on Eid-i-Milad-un-Nabi Sal lalla hu elyhy wasullam PBUH https://t.co/f7yHUJhA2Z
935812205362270208,2017-11-29 10:06:30,After being PM 3 times NS doesn’t know that all public off holders have to explain how their assets/expenditures ar… https://t.co/RtpqQwXLdt
935456031307698177,2017-11-28 10:31:12,Another step forward in PTI's commitment towards women rights: First time in KP an open kutchery for women by a wom… https://t.co/egW4EJIY2t
935388013609324546,2017-11-28 06:00:55,"In addition to strict enforcement of anti corruption laws, in other societies there is also the fear of social boyc… https://t.co/EtRivSZR5z"
935386897538600960,2017-11-28 05:56:29,How China deals with their corrupt in contrast to how our ruling elite protects those who rob the public. Presently… https://t.co/r0hHkqkavX
935384578654720000,2017-11-28 05:47:16,First ever report in yrs where any HC or the SC has praised police: PHC commends IGP KP &amp; KP police for its handlin… https://t.co/AcAkbZsBJ5
934728424735805441,2017-11-26 10:19:57,My statement today asking for resignation of PM and Interior Minister https://t.co/3TVupWxVIH
934667952330346496,2017-11-26 06:19:39,My statement issued yesterday https://t.co/nTXznLIByb
934065919663407104,2017-11-24 14:27:24,"Hafizabad full of junoon today. They all knew the answer ""corruption"" when I repeated NS's wailing question ""Mujhe… https://t.co/0fNkcAMV8F"
933924050090545157,2017-11-24 05:03:39,"Saddened to learn of the martyrdom of Additional IG KP, Ashraf Noor, in condemnable Peshawar blast. It will not det… https://t.co/DnQl7Qmdxv"
933911371305103362,2017-11-24 04:13:16,KP police 2nd most trusted institution after army amongst KP based respondents. A great achievement for KP Police R… https://t.co/5r24wLZMFa
933774378856218624,2017-11-23 19:08:55,"Another brave, selfless soldier, Major Ishaq, laid down his life to make our lives more secure. We must respect the… https://t.co/5IKkq6sth1"
932994740731219968,2017-11-21 15:30:55,"What a terrible and demoralising message has gone out to the nation, esp the youth: that there is nothing wrong wit… https://t.co/ZRb4m9u5Vq"
932994348723122177,2017-11-21 15:29:21,The PMLN MNAs also showed that their only purpose in the parliament is to protect the Sharif mafia's corruption. In… https://t.co/9bnHiO6XeB
932993634416422914,2017-11-21 15:26:31,Today all PMLN members of the NA should hang their heads in shame for making a farce out of our democracy. They opp… https://t.co/tEo4MdGFQg
932654429555318785,2017-11-20 16:58:38,"Remembering Faiz on his death anniversary today - a poet with a vision for empowering the poor, liberating people f… https://t.co/1uHlC9zH9k"
932513868819070976,2017-11-20 07:40:06,Now NS and the Sharif mafia are desperate to use all extrailegal means to save his Rs 300 bn  laundered and stashed… https://t.co/WcZX5ZjrtQ
932513105866870784,2017-11-20 07:37:04,So it is Judiciary that has constitutional duty of ehtesab. NS trying to stir ppl into doing his ehtesab is also a… https://t.co/FGI1X1BE2B
932512139960553473,2017-11-20 07:33:14,NS's ad nauseum slogan that ppl will do his ehtesab is an attempt to fool all the ppl all the time but ppl cannot b… https://t.co/32kuKkIWC7
932465369003982848,2017-11-20 04:27:22,Fixit's peaceful protest against the deteriorating education system in Karachi gets violent response from Sindh gov… https://t.co/8IegB8gSjo
932288909467357184,2017-11-19 16:46:11,Mubarak to Muslims everywhere on sighting of the Rabi ul Awwal moon. May Allah shower his blessings on  and bring peace to the Muslim Ummah
